Benefits,Company,Education,Industry,Industry_label,Job_function,Job_title,Level,Location,Posting_date,Salary,Work_exp
,SIRIUS Partners Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['IT (Network & System)', 'IT (Systems / Technical Support)', 'IT (Others)', 'Banking / Finance / Securities (Others)']",UAT Tester- Top Financial Institution,Middle,,Posting Date: 2020-09-10,--,2-5
"['', 'Bank Holiday', '', 'Commission', '', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'On-the-job training', '', 'Promotion']",AIA International Limited,Bachelor,All Banking / Finance / Securities,Insurance,"['Banking / Finance / Securities (Financial Services)', 'Insurance (Insurance / Broker)', 'Banking / Finance / Securities (Investment)', 'Others (Others)']",Wealth Management Manager財富管理經理精英招募（年薪可達80萬或以上，歡迎轉行業人士及優秀畢業生）,General,Eastern District / North Point,Posting Date: 2020-09-10,--,--
"['', 'Alternative Retirement Scheme', '', 'Birthday Leave', '', 'Bonus for a recruit / new joiner', '', 'Commission', '', 'Flexible Working Hours', '', 'Life Insurance', '', 'Medical Insurance', '', 'On-the-job training', '', 'Performance Bonus', '', 'Promotion', '', 'Staff Discount', '', 'Travel Allowance', '', 'Year end bonus']",Sun Life Hong Kong Limited,DSE ,All Banking / Finance / Securities,Insurance,"['Insurance (Insurance / Broker)', 'Fresh Graduate (Fresh Graduate)', 'Banking / Finance / Securities (Financial Services)', 'Retail (Fashion & Accessories)', 'Airline / Travel / Tourism (Cabin Crew)']",Executive Business Manager / Management Trainee,General,Kowloon City District / Whampoa,Posting Date: 2020-09-10,"$20,000 - $50,000",2-10
"['', 'Five-Day Work', '', 'Medical Insurance', '', 'Overtime Pay']",I-Access Group Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['IT (Software / Web Developer)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)', 'Fresh Graduate (Fresh Graduate)']",Programmer / Junior Programmer,General,Wanchai District / Causeway Bay,Posting Date: 2020-09-10,--,1
"['', 'Five-Day Work']",Vegasoul Capital Management (Asia) Limited,Bachelor,All Banking / Finance / Securities,Trading,"['Banking / Finance / Securities (Analysis)', 'Banking / Finance / Securities (Dealing & Trading)', 'Banking / Finance / Securities (Fund Management)']",Quantitative Researcher - attractive salary!,General,,Posting Date: 2020-09-10,--,3
"['', 'Bank Holiday', '', 'Bonus for a recruit / new joiner', '', 'Commission', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'On-the-job training', '', 'Promotion', '', 'Travel Allowance', '', 'Year end bonus']",GD - MPF Financial Company,Associate Degree / Higher Diploma,All Banking / Finance / Securities,Insurance,"['Banking / Finance / Securities (Financial Services)', 'Airline / Travel / Tourism (Travel Agency / Consultant)', 'Retail (Retail Operations Management)', 'Insurance (Insurance / Broker)', 'Hospitality / Hotel (Customer Service)']",強積金業務推廣主任 MPF Business Officer,Middle,Kowloon City District / Hung Hom,Posting Date: 2020-09-10,"$18,000 or above",--
"['', 'Commission', '', 'Five-Day Work', '', 'Flexible Working Hours', '', 'On-the-job training']",Supreme Private,F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Financial Services)', 'Fresh Graduate (Fresh Graduate)', 'Insurance (Others)']",MPF Specialist 強積金專員,General,Kowloon,Posting Date: 2020-09-10,--,--
"['', 'Bank Holiday', '', 'Five-Day Work', '', 'Medical Insurance']",Winbox Company Limited,Associate Degree / Higher Diploma,All Banking / Finance / Securities,Manufacturing / Industrial,"['Administration / Secretary (Personal / Executive Assistant)', 'Banking / Finance / Securities (Account / Relationship Management)']",SECRETARY / PERSONAL ASSISTANT,Middle,Central & Western District / Sheung Wan,Posting Date: 2020-09-09,--,1-2
"['', 'Five-Day Work']",Yintran Group Holdings Limited,Diploma,All Banking / Finance / Securities,Information Technology,"['Accounting / Auditing (Accounting Clerk / Officer / Supervisor)', 'Accounting / Auditing (Financial Analyst)', 'Accounting / Auditing (Others)', 'Banking / Finance / Securities (Account / Relationship Management)', 'Hospitality / Hotel (Others)']",Accounting clerk,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-09,--,3 or above
,Yintran Group Holdings Limited,Associate Degree / Higher Diploma,All Banking / Finance / Securities,Information Technology,"['Customer Service (Customer Service)', 'Banking / Finance / Securities (Financial Services)', 'Accounting / Auditing (General Accounting)']",Customer Service Representatives,General,,Posting Date: 2020-09-09,--,3
,Chasseur Pro Executive Consultant Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Retail Banking)', 'Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Others)']",Branch Manager / Private Bank Relationship Manager / Junior Investment Consultant,Senior,,Posting Date: 2020-09-09,--,4
